company,city,segment,contact_name,role,email,source_url,pain_signal,recommended_plan,personalization_line,confidence,status
Next Quarter Coffee,Cluj-Napoca,cafenea,Echipă,Contact general,contact@nextquartercoffe.ro,https://nextquartercoffee.ro/policies/contact-information,Prăjitorie + ofertă aparate în custodie pentru birouri; pipeline B2B fără CRM/POS integrat.,pro,Next Quarter oferă custodie aparate pe Piața 1 Mai — urmărirea consumului per client HoReCa ar crește retenția contractelor.,high,sent_step1
Kintsu Coffee,Cluj-Napoca,cafenea,Echipă,Contact prăjitorie,contact@kintsu.coffee,https://kintsu.coffee/cookies/,Micro-prăjitorie specialty cu retururi gust — comenzi online și degustări fără inventar unificat.,starter,Kintsu livrează specialty din Cluj — inventar loturi prăjire legat de comenzile online ar reduce retururile de gust.,high,sent_step1
Mokum Specialty Coffee,Timișoara,cafenea,Echipă,Contact general,office@mokum.ro,https://mokum.ro/,Cea mai veche specialty din Timișoara; comenzi telefonice + walk-in — fără comandă online integrată cu casa.,starter,Mokum pe Eugeniu de Savoya e landmark local — un till rapid pentru comenzi telefon + walk-in ar scurta cozile de dimineață.,high,sent_step1
Metaphor Coffee Roasters,Timișoara,cafenea,Gina Veveriță,Fondator,metaphorcoffee@gmail.com,https://metaphorcoffee.ro/pages/contact,Concept café + carte + dezvoltare personală; comenzi email/telefon — greu de scalat fără POS digital.,starter,Metaphor pe Take Ionescu 71 e unic prin carte + café — POS simplu ar elibera timp pentru experiența cu clienții.,high,sent_step1
Nori Specialty Coffee,Timișoara,cafenea,Echipă,Contact general,contact@noricoffeeshop.ro,https://noricoffeeshop.ro/contact/,Cafenea specialty cu takeaway și terasă; plăți card dar fără vizibilitate pe rapoarte zilnice centralizate.,starter,Nori pe Protopop George Dragomir 7A — raport Z automat pe espresso vs. retail ar ajuta la reordonarea boabelor.,high,sent_step1
True Fine Coffee,Iași,cafenea,Echipă,Contact general,office@truefinecoffee.ro,https://truefinecoffee.ro/,Specialty + brunch pet friendly; rezervări masă — kitchen și bar probabil pe bonuri separate.,pro,True Fine pe Sfântul Andrei combină brunch și specialty — POS cu comanda bucătărie/bar sincronizată ar reduce erorile la weekend.,high,sent_step1
Ecce Coffee Roasters,Iași,cafenea,Echipă,Contact general,ecceroasters@gmail.com,https://ecceroasters.ro/,Continuare Harmony Cafe (9 ani); rebranding — migrare clienți și loialitate fără istoric vânzări digital.,starter,Ecce pe Bd. Carol I continuă povestea Harmony — păstrarea istoricului clienților într-un POS nou ar proteja loialitatea.,high,sent_step1
Baristas.ro,Iași,cafenea,Echipă,Contact magazin,cafeabaristas@gmail.com,https://www.baristas.ro/contacts/,Magazin cafea + livrare națională; program sâmbătă până 14:00 — stoc magazin vs. e-commerce nealiniat.,starter,Baristas pe Silvestru 4 vinde boabe și accesorii — inventar unificat magazin/online ar evita vânzarea produselor epuizate.,high,sent_step1
Express Caffe,Iași,cafenea,Echipă,Contact HoReCa,office@expresscaffe.ro,https://expresscaffe.ro/contact/,Distribuitor HoReCa + capsule HoMico; contracte kg/lună pe aparate — facturare recurentă manuală.,pro,Express Caffe din Miroslava gestionează contracte HoReCa pe kg/lună — POS cu abonamente ar automatiza reînnoirile.,high,pending
Urbanistic Coffee,Brașov,cafenea,Echipă,Contact general,contact@urbanistic.coffee,https://urbanistic.coffee/,Prăjitorie proprie + magazin online; promoții volume (1kg = espresso gratis) — greu de urmărit fără CRM.,starter,Urbanistic pe Vulturului 2 prăjește propriu — promoțiile la kilogram ar fi mai ușor de controlat cu POS + fidelizare.,high,pending
Habitat Coffee Studio,Brașov,cafenea,Echipă,Contact general,hello@ourhabitat.ro,https://ourhabitat.ro/,"Cafenea + cursuri SCA + workshop-uri; venituri mixte (cafea, training) pe aceeași casă.",pro,Habitat pe Prundului 57 combină café și academy SCA — separarea veniturilor bar vs. cursuri în POS ar clarifica P&L.,high,pending
Ch9 Specialty Coffee,Brașov,cafenea,Vio Spiru,Contact general,vio@spired.ro,https://ch9.metro.bar/,Cafenea în curtea Bisericii Negre; evenimente private + takeaway — sezonalitate turistică Brașov.,starter,Ch9 în curtea Johannes Honterus trăiește de turism — POS cu rapoarte sezon ar ajuta la personalul de vară vs. iarnă.,high,pending
Book Coffee Shop,Brașov,cafenea,Echipă,Contact magazin,shop@bookcoffee.ro,https://www.twinbeanscoffeeshop.com/contact.html,Coffee-to-go + retail; flux rapid dimineața — cozi la espresso fără self-ordering.,starter,Book Coffee e orientat take-away — un POS preset pentru rețete latte ar accelera servirea dimineața.,medium,pending
Mica Elvetie,București,restaurant mic,Jakob Hausmann,Chef & proprietar,office@micaelvetie.ro,https://www.micaelvetie.ro/,Restaurant familial 20+ ani; rezervări telefon/email — meniu premium fără digitalizare vânzări/specials.,pro,Mica Elveție pe Franceza 60-62 e institution local — POS discret cu rezervări ar păstra eleganța fără bonuri pierdute.,high,pending
Restaurant Minish,București,restaurant mic,Echipă,Contact general,restaurant.minish@outlook.com,https://www.restaurantminish.com/contact,Restaurant mic pe Google Sites; contact Outlook — probabil fără sistem POS modern.,starter,Minish pe Barajul Uzului pare unitate compactă — un POS all-in-one ar înlocui procesele manuale de la primul serviciu.,high,pending
Restaurant Vulturul,București,restaurant mic,Echipă,Contact general,contact@restaurantvulturul.ro,https://www.restaurantvulturul.ro/protectia-datelor-personale/,Restaurant tradițional Sector 6; date contact doar în GDPR — rezervări și casă posibil neintegrate.,starter,Vulturul din Intrarea Blejoiu deservește cartierul — un till simplu cu bon fiscal ar reduce timpul la închiderea zilei.,high,pending
Rispetto Cucina Italiana,București,restaurant mic,Constantin Ghimpu,Chef,rezervari@rispettorestaurant.ro,https://www.rispettorestaurant.ro/contact/,Fine dining italian în residential; rezervări email + newsletter — fără vizibilitate pe cost food vs. revenue.,pro,Rispetto cu Chef Ghimpu pe Progresului — rapoarte food cost pe fel principal ar spori încrederea ownerului în cifre.,high,pending
KIMU,București,restaurant mic,Echipă,Rezervări,rezervari@kimu.ro,https://kimu.ro/contact/,Fine dining coreean-japonez; rezervări formular — meniu degustare probabil manual la POS.,pro,KIMU pe Clucerului 19 vinde experiență premium — POS cu meniu degustare preset ar reduce erorile între salon și bucătărie.,high,pending
Osho Restaurant,București,restaurant mic,Echipă,Rezervări,rezervari@osho-restaurant.ro,https://osho-restaurant.ro/contactati-ne/?lang=ro,Restaurant Primaverii; rezervări dual email RO/EN — clienți corporate fără facturare automată.,pro,Osho pe bd. Primaverii atrage corporate — POS cu factură rapidă și split plată ar scurta checkout-ul la prânz.,high,pending
Baracca,Cluj-Napoca,restaurant mic,Echipă,Rezervări,rezervari@baracca.ro,https://www.baracca.ro/,Fine dining centru Cluj; rezervări telefon/email — evenimente private și terasă pe același registru.,pro,Baracca pe Napoca 8A combină terasă și salon — un POS cu plan mese ar reduce dubla rezervare în sezon.,high,pending
DaVinci Ristorante,Cluj-Napoca,restaurant mic,Oana Munteanu,Evenimente,rezervari@davinciristorante.ro,https://davinciristorante.ro/contact/,Restaurant + sală evenimente Buna Ziua; confirmare telefonică obligatorie — risc no-show fără avans POS.,pro,DaVinci pe Str. Fagului are salon evenimente separat — avans POS la rezervare ar securiza mesele mari.,high,pending
Kupaj Wine Bar,Cluj-Napoca,restaurant mic,Echipă,Rezervări,rezervari@kupaj.ro,https://kupaj.ro/contact/,Wine bar centru; rezervări formular + telefon — inventar sticle vs. vânzări pahar greu de urmărit manual.,pro,Kupaj pe Sindicatelor 4 vinde sticle și pahar — POS cu inventar vin ar reduce diferențele la inventar lunar.,high,pending
My Thai,Cluj-Napoca,restaurant mic,Echipă,Rezervări,rezervari@mythai.ro,https://mythai.ro/rezerva-o-masa/,Thai cu break-menu zilnic; bucătărie/bar program diferit — comenzi complexe la masă.,pro,My Thai pe Rebreanu 3 are meniu zilei + grill — POS cu modificatori masă/terasă ar evita confuziile la serviciu.,high,pending
Restaurant Nativ,Cluj-Napoca,restaurant mic,Echipă,Contact general,contact@restaurantnativ.ro,https://restaurantnativ.ro/contact-restaurant-nativ/,Steakhouse „fripturi 100% românești”; focus proveniență — traceability ingrediente vs. POS manual.,pro,Nativ pe Clemenceau 3 promite carne românească — POS cu note pe proveniență lot ar susține povestea la audit.,medium,pending
Panoramic Cetățuie,Cluj-Napoca,restaurant mic,Echipă,Rezervări,office@panoramic-cluj.ro,https://panoramic-cluj.ro/contact/,Restaurant + pensiune 8 camere; rezervări restaurant vs. cazare pe canale separate.,pro,Panoramic pe Șerpuitoare 1 combină restaurant și pensiune — POS unificat ar lega consumul cameră de restaurant.,high,pending
Restaurant Valahia,Timișoara,restaurant mic,Echipă,Rezervări,rezervari@restaurant-valahia.ro,https://www.restaurant-valahia.ro/contact/,Restaurant familial Rebreanu; program 11–21 zilnic — comenzi telefon + walk-in fără delivery integrat.,starter,Valahia pe Rebreanu 52-54 e restaurant de cartier — POS simplu cu raport pe interval prânz/cină ar ajuta la staffing.,high,pending
Tied,Timișoara,restaurant mic,Echipă,Contact general,contact@tied.ro,https://tied.ro/contact/,Fine dining Ungureanu 3; rezervări pentru „seri fără grabă” — experiență premium pe casă clasică.,pro,Tied pe Emanoil Ungureanu 3 vinde ritm lent — POS cu course firing ar sincroniza bucătăria cu tempo-ul serii.,high,pending
Restaurant Insula,Timișoara,restaurant mic,Echipă,Contact general,office@restaurant-insula.ro,https://restaurant-insula.ro/contact/,Restaurant cu piscină Ghirodei; sezonality puternică vară — personal variabil greu planificat fără date.,pro,Insula pe Aleea Ghirodei 36 are sezon estival — rapoarte POS pe lună ar ghida angajările de vară.,high,pending
Tassei Sushi Robata,Timișoara,restaurant mic,Echipă,Contact general,office@tasseifamily.ro,https://tasseifamily.ro/contact/,Sushi robata; program vineri-sâmbătă până 22:30 — comenzi complexe robata + bar.,pro,Tassei pe Matei Corvin 6 cu robata live — POS kitchen display ar reduce timpul între comanda sushi și fire robata.,high,pending
Vinto Gastro Wine Bar,Timișoara,restaurant mic,Echipă,Contact general,office@vinto.ro,https://zilesinopti.ro/,Gastro wine bar; pairing vin-mâncare — inventar sticle și solduri pahar manual.,pro,Vinto în Timișoara vinde pairing — POS cu rețetar sticlă/pahar ar proteja marja pe wine list.,medium,pending
Trai Restaurant,Iași,restaurant mic,Echipă,Contact general,contact@trairestaurant.ro,https://www.trairestaurant.ro/contact/,Fine dining Musicescu; program 12–23 zilnic — rezervări telefon/email fără avans.,pro,Trai pe Fundac Musicescu 3 e loc intim — avans POS la rezervare ar reduce mesele pierdute sâmbăta seara.,high,pending
FOOM,Iași,restaurant mic,Echipă,Contact general,contact@foom.ro,https://foom.ro/contact/,Fine dining centru Lapușneanu; rezervări telefon — experiență tasting fără digitalizare.,pro,FOOM pe Lapușneanu 3 promite experiență specială — POS cu meniu degustare ar alinia front și bucătărie.,high,pending
Creveteria,Iași,restaurant mic,Echipă,Contact general,contact@creveteria.ro,https://www.creveteria.ro/contact/,"Fructe de mare + livrare + private chef; comenzi complexe multi-canal (masă, delivery, catering).",pro,Creveteria pe Pogor 4 face delivery și private chef — POS omnichannel ar unifica comenzile într-un singur flux.,high,pending
La Conac,Iași,restaurant mic,Echipă,Contact general,contact@laconac-traditie.ro,https://laconac-traditie.ro/contact/,Tradițional românesc Gane 27; comenzi acasă + restaurant — rețete tradiționale pe bonuri separate.,starter,La Conac pe Nicolae Gane 27 vinde tradiție — POS cu comenzi acasă + masă ar evita dublarea comenzilor telefon.,high,pending
Veranda Restaurant,Iași,restaurant mic,Echipă,Contact general,contact@verandarestaurant.ro,https://verandarestaurant.ro/contact/,Livrări zilnice 12–22 + restaurant Anastasie Panu; două fluxuri venit fără consolidare.,pro,Veranda livrează zilnic și servește local — POS cu delivery integrat ar reconcilia încasările curier vs. sală.,high,pending
Brukenhalle,Brașov,restaurant mic,Echipă,Rezervări,rezervari@brukenhalle.ro,https://brukenhalle.ro/contact.html,Burger/pizza/paste Scheii Brașov; rezervări WhatsApp — volum mare weekend fără KDS.,starter,Brukenhalle din Scheii Brașovului are flux rapid burger/pizza — KDS simplu ar reduce timpul la masă în weekend.,high,pending
Restaurant Prato,Brașov,restaurant mic,Echipă,Rezervări,eat@prato.ro,https://www.prato.ro/contact/,Fine dining Michael Weiss 11; rezervări email — meniu sezonier fără analiză vânzări pe fel.,pro,Prato pe Michael Weiss 11 schimbă meniul sezonier — rapoarte POS pe fel ar ghida rețetarul pentru sezonul următor.,high,pending
Bistro Aha,Brașov,restaurant mic,Echipă,Contact general,contact@ahabistro.ro,https://www.ahabistro.ro/contact/,Bistro + livrări 11–22; terasă încălzită — comenzi Glovo/Telefon separate de POS sală.,pro,Aha pe Lucian Blaga 8A face livrări zilnic — POS care prinde delivery + sală ar unifica încasarea.,high,pending
Noe Patisserie,Dobroești,takeaway/patiserie,Echipă,Comenzi,comenzi@noe-patisserie.ro,https://www.noe-patisserie.ro/ro/contact/,Patiserie artizanală fără adaos chimici; comenzi telefon/email — producție vs. comenzi tort nealiniate.,starter,Noe din Dobroești livrează viennoiserie fără adaosuri — POS comenzi tort cu dată livrare ar reduce comenzile ratate.,high,pending
Magicake,București,takeaway/patiserie,Echipă,Comenzi,comenzi@magicake.ro,https://www.magicake.ro/contact/,Laborator cofetărie la comandă; comenzi WhatsApp/email/site — urgențe tort fără coadă producție digitală.,pro,Magicake pe Moruzzi 4A produce torturi la comandă — POS producție + comenzi ar prioritiza comenzile cu deadline.,high,pending
Noisette Bakery,București,takeaway/patiserie,Anna,Cofetar & owner,contact@noisette-bakery.ro,https://noisette-bakery.ro/,Atelier artizanal; comenzi tort/candy bar — calendar producție manual pe evenimente.,starter,Noisette e atelierul Annei — un POS comenzi cu calendar eveniment ar evita suprapunerile de torturi.,high,pending
House of Cookies,București,takeaway/patiserie,Echipă,Comenzi,comenzi@houseofcookies.ro,https://houseofcookies.ro/,Cofetărie Șerban Vodă 163; livrare 7km — confirmare telefonică după formular online.,pro,House of Cookies pe Șerban Vodă confirmă manual comanda — POS online-to-kitchen ar elimina telefonul de confirmare.,high,pending
MamaPan,București,takeaway/patiserie,Echipă,Comenzi,comenzi@mamapan.ro,https://www.mamapan.ro/contact/,Brutărie maia; comenzi doar site până 07:00 — producție după-amiază/livrare a doua zi; capacitate limitată.,pro,MamaPan pe Drumetului 2A limitează comenzile la capacitate — POS cu plafon producție ar opri overselling-ul automat.,high,pending
Cofetăria Alice,București,takeaway/patiserie,Echipă,Comenzi,office@cofetariaalice.ro,https://www.cofetariaalice.ro/contact.html,Livrare intervale 10–14 / 14–18; program comenzi strâns — sloturi livrare manual planificate.,pro,Alice pe Mihai Bravu livrează pe intervale fixe — POS cu sloturi livrare ar evita supra-aglomerarea producției.,high,pending
La Dolceria,București,takeaway/patiserie,Echipă,Comenzi,contact@ladolceria.ro,https://ladolceria.ro/cum-cumpar/,Torturi la comandă + livrare gratuită București; comenzi telefon/email/site — urgențe manuale.,pro,La Dolceria livrează torturi în București — POS cu flag „urgent” ar tria comenzile pentru laborator.,high,pending
Leonidas Ciocolaterie Online,București,takeaway/patiserie,Echipă,Contact general,contact@ciocolaterieonline.ro,https://ciocolaterieonline.ro/contact/,Retail online + magazine fizice; comenzi 1–3 zile — stoc e-commerce vs. vitrină nealiniat.,multi_location,Leonidas online livrează cadouri în 1–3 zile — inventar centralizat între shop-uri ar reduce rupturile de stoc.,high,pending
La Saveur du Levain,București,takeaway/patiserie,Echipă,Contact general,office@lasaveur.ro,https://lasaveur.ro/contact/,Brutărie-patiserie maia Drumul Taberei; comenzi telefon — producție artizanală fără forecast.,starter,La Saveur pe Drumul Taberei 68 coace cu maia — POS cu previziune pe zi ar reduce risipa de patiserie.,high,pending
Cofetaria Altfel,București,takeaway/patiserie,Echipă,Comenzi,office@cofetariaaltfel.ro,https://cofetariaaltfel.ro/faq/cum-comand/,Comenzi tort cu avans minim 100 lei; transfer bancar + WhatsApp confirmare — proces manual.,starter,Altfel pe 1 Decembrie 1918 cere avans la tort — POS cu avans integrat ar înlocui transferul + WhatsApp.,high,pending
Cofetaria Armand,București,takeaway/patiserie,Echipă,Comenzi,comanda@cofetariaarmand.ro,https://cofetariaarmand.ro/,Livrare București/Ilfov/24 județe; livrare 3h local — logistică complexă fără TMS integrat.,pro,Armand livrează în 24 județe — POS cu rutare livrare ar sincroniza comanda cu flota de transport.,high,pending
Cofetăria Naomi,București,takeaway/patiserie,Echipă,Comenzi,comenzi@cofetarianaomi.ro,https://shop.cofetarianaomi.ro/politica-de-livrare-si-plata/,Shop online patiserie; comenzi site/social/email — erori adresă telefon manual corectate.,pro,Naomi preia comenzi pe site și social — POS cu validare adresă ar reduce livrările eșuate.,high,pending
Makis Pizza,Cristești,takeaway/patiserie,Echipă,Comenzi,comenzi@makispizza.ro,https://makispizza.ro/ro/contacts/,Pizzerie locală comenzi; program livrări Mar-Dum — luni închis; comenzi telefon dominate.,starter,Makis Pizza din Cristești livrează Mar-Dum — POS comenzi telefon ar scurta timpul la vârfurile de weekend.,high,pending
Pizza Primavera,București,takeaway/patiserie,Echipă,Contact general,office@pizzalaprimavera.ro,https://pizzalaprimavera.ro/contact/,3 linii telefon comenzi (0771001002/3004/5006) — volum delivery fără agregare comenzi.,pro,Primavera pe Col. Buzoianu 86 are 3 numere comenzi — POS centralizat ar elimina comenzile pierdute între linii.,high,pending
Rikissimo,Baia Mare,takeaway/patiserie,Echipă,Contact general,contact@rikissimo.ro,https://rikissimo.ro/,Patiserie-cofetărie familie; comenzi online tort — refrigerare și ambalare manual urmărite.,starter,Rikissimo din Baia Mare e afacere de familie — POS comenzi cu dată ridicare ar organiza vitrina frigorifică.,high,pending
Cofetaria Madise,Bontida,takeaway/patiserie,Echipă,Contact general,office@cofetariamadise.ro,https://cofetariamadise.ro/ro,Atelier Cluj-Bontida; comenzi evenimente — producție la comandă fără pipeline digital.,starter,Madise pe Eminescu 450 din Bontida face torturi de eveniment — POS cu brief client ar standardiza comenzile.,high,pending
Dor de Dulce,București,takeaway/patiserie,Echipă,Comenzi,comenzi@dordedulce.ro,https://dordedulce.ro/livrare/,Livrare Mie-Dum; taxă 35 lei București din aug 2025 — planificare rute manuală.,pro,Dor de Dulce livrează Mie-Dum cu taxă dinamică — POS cu zonare livrare ar calcula automat costul transport.,high,pending
Prăjitură din Natură,București,takeaway/patiserie,Echipă,Comenzi,deliciirawvegane@gmail.com,https://dev.prajituradinnatura.ro/informatii-despre-livrare/,Raw vegan; livrare temperatură controlată — comenzi cu interval agreat manual per produs.,starter,Prăjitură din Natură pe Pop de Băsești 57 livrează raw — POS cu timp execuție produs ar seta așteptările clientului.,high,pending
Wagner's Loft,Brașov,takeaway/patiserie,Echipă,Contact rezervări,contact@wagnersloft.ro,https://wagnersloft.ro/,Fine dining + takeaway Piața Enescu; rezervări și delivery pe același telefon.,pro,Wagner's Loft face takeaway lângă Piața Sfatului — POS separat delivery vs. dine-in ar clarifica bucătăria.,high,pending
Cofetaria Loren,Piatra Neamț,takeaway/patiserie,Echipă,Contact general,contact@cofetaria-loren.ro,https://cofetaria-loren.ro/,Cofetărie regională; comenzi tort probabil telefon — fără prezență digitală puternică.,starter,Loren din Piatra Neamț deservește evenimente locale — un POS comenzi tort ar profesionaliza preluarea.,medium,pending
La Casa de Turtă Dulce,Brașov,takeaway/patiserie,Echipă,Comenzi,comenzi@lacasadeturtadulce.ro,https://lacasadeturtadulce.ro/termeni-si-conditii/,2 locații Brașov (Magnolia + Str. Lungă); comenzi online — stoc per shop nevizibil central.,multi_location,Casa de Turtă Dulce are shop-uri în Magnolia și Str. Lungă — inventar POS pe locație ar evita „stoc epuizat” la telefon.,high,pending
La Nadiniere,Cluj-Napoca,takeaway/patiserie,Echipă,Comenzi,lanadiniere@gmail.com,https://lanadiniere.ro/,4 locații Cluj + wedding sweets; comenzi WhatsApp/email — oferte 2026 manuale.,multi_location,Nadiniere cu hub-uri în Bună Ziua și centru — POS comenzi wedding ar urmări avansul pe tot sezonul 2026.,high,pending
Ganesha Caffe,București,multi_location,Echipă,Contact general,ganeshacaffevictoriei@gmail.com,https://ganeshacaffevictoriei.ro/contact,3 locații (Victoriei Primaverii Barbu Văcărescu); email per locație — rapoarte consolidate inexistente.,multi_location,Ganesha cu 3 locații în București raportează separat — POS multi-locație ar da ownerului o singură imagine Z.,high,pending
La Cocoșatu',București,multi_location,Echipă,Contact general,office@lacocosatu.ro,https://www.lacocosatu.ro/,2 restaurante mici (Băneasa + Clucerului) + livrare zone largi — comenzi telefon per locație.,multi_location,Cocoșatu' pe Băneasa și Clucerului livrează în zone diferite — POS cu locație implicită ar ruta comanda corect.,high,pending
Maroon Experience,București,multi_location,Echipă,Contact general,office@maroonexperience.ro,https://maroonexperience.ro/contact/,6+ concepte (restaurant bistro food court outlet); același email — complexitate operațională extremă.,multi_location,Maroon operează Unirii Nerva Traian și Fashion House — POS centralizat pe concept ar compara performanța fiecărui brand.,high,pending
Hedone Cafe,Craiova/București,multi_location,Diana Nicola,Departament vânzări,office@hedonecafe.ro,https://www.hedonecafe.ro/contact,Prăjitorie Craiova + showroom București; departamente separate — vânzări B2B și retail neunificate.,multi_location,Hedone are prăjitorie Craiova și showroom București — POS multi-depozit ar alinia stocul boabe între locații.,high,pending
Saitos Kürtőskalács,Cluj-Napoca,multi_location,Melina,Contact general,office@saitos.ro,https://saitos.ro/contact.html,7 locații fixe + mobile; același telefon/email — vânzări per mall greu comparate.,multi_location,Saitos cu 7 locații din Iris până în Sibiu — raport POS per locație ar arăta care mall merită staff extra.,high,pending
IL TACCHINO,București,multi_location,Bogdan Irina,Fondator,office@iltacchino.ro,https://www.iltacchino.ro/politica-de-confidentialitate,2 locații (Victoriei + Corbeanca) plan 10 în 2 ani; IT monitorizare producție — POS trebuie să scaleze.,multi_location,IL TACCHINO pregătește 8 deschideri noi — POS standardizat de la Victoriei la Corbeanca e baza scalării.,high,pending
Teo's Cafe,Iași,multi_location,Echipă,Contact general,contact@teoscafe.ro,https://teoscafe.ro/contact/,Lanț cafenele Iași (Palas Unirii UMF Campus); contact central — performanță per loc nepublice.,multi_location,Teo's Cafe e prezent în Palas și Unirii — comparația vânzărilor pe locație în POS ar ghida meniul local.,high,pending
Kafea,Brașov/Cluj,multi_location,Echipă,Contact general,office@kafeabuna.ro,https://kafeabuna.ro/cookie-policy/,3 locații coffee-to-go; 1000+ clienți/zi claim — viteză POS critică la vârf.,multi_location,Kafea pe Barițiu și Coresi Campus servește sute de latte-uri zilnic — POS rapid preset-uri ar menține fluxul.,high,pending
Delicio Pizza,Brașov/Iași/Sibiu,multi_location,Echipă,Contact Brașov,brasov@delicio.ro,https://delicio.ro/brasov/contact/,3 orașe delivery+pizza; email per oraș — comenzi online + telefon centralizare dificilă.,multi_location,Delicio e în Brașov Iași și Sibiu — POS multi-oras ar consolida comenzile delivery într-un dashboard.,high,pending
HUGO Restaurant,Cluj-Napoca,multi_location,Echipă,Rezervări City,rezervari.city@hugorestaurants.ro,https://www.hugorestaurants.ro/contact/,2 locații (City + Bulevard); inbox-uri separate — rapoarte owner fragmentate.,multi_location,HUGO City și Bulevard au rezervări separate — POS multi-locație ar compara ocuparea sălii pe seri.,high,pending
Origo Coffee,București,multi_location,Echipă,Contact general,office@origocoffee.ro,https://origocoffee.ro/pages/contact-1,Lipscani + Dorobanți + prăjitorie Cernica; multiple inbox-uri — operațiuni bar vs. prăjire vs. academy.,multi_location,Origo are Lipscani Dorobanți și prăjitorie Cernica — POS pe locație ar separa bar de academy fără Excel.,high,pending
